FIPS,State,State_name,State,County,long,lat,FFRPTH14,PCH_FFRPTH_09_14,FSRPTH14,PCH_FSRPTH_09_14
1013,AL,Alabama,AL,Butler,-86.7468,31.6391,0.837603469,2.813362239,0.492707923,-45.88770409
1013,AL,Alabama,AL,Butler,-86.8428,31.8624,0.837603469,2.813362239,0.492707923,-45.88770409
1013,AL,Alabama,AL,Butler,-86.8233,31.5566,0.837603469,2.813362239,0.492707923,-45.88770409
1015,AL,Alabama,AL,Calhoun,-85.9125,33.6457,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.6157,33.9267,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.8117,33.7602,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.7129,33.6683,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-86.0278,33.7878,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.688,33.7603,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.6733,33.8588,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.8137,33.6713,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.8718,33.5963,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.8927,33.8226,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.8535,33.7119,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.856,33.6149,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.8792,33.7675,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.7544,33.8084,0.888574485,10.70983344,0.66427413,17.35146089
1015,AL,Alabama,AL,Calhoun,-85.7514,33.6265,0.888574485,10.70983344,0.66427413,17.35146089
1017,AL,Alabama,AL,Chambers,-85.2449,33.0863,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.2082,32.8572,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.1771,32.8088,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.3058,32.7876,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.3308,33.0548,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.2394,32.843,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.4007,32.8997,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.4721,33.009,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.5253,33.0926,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.2912,32.9861,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.5761,32.7333,0.763000352,19.25001868,0.469538678,-15.02832677
1017,AL,Alabama,AL,Chambers,-85.3516,33.0173,0.763000352,19.25001868,0.469538678,-15.02832677
1019,AL,Alabama,AL,Cherokee,-85.7715,34.2302,0.576103238,-6.908918078,0.422475708,9.226869455
1019,AL,Alabama,AL,Cherokee,-85.61,34.3634,0.576103238,-6.908918078,0.422475708,9.226869455
1019,AL,Alabama,AL,Cherokee,-85.4619,34.0862,0.576103238,-6.908918078,0.422475708,9.226869455
1019,AL,Alabama,AL,Cherokee,-85.5585,34.2681,0.576103238,-6.908918078,0.422475708,9.226869455
1019,AL,Alabama,AL,Cherokee,-85.5558,33.973,0.576103238,-6.908918078,0.422475708,9.226869455
1019,AL,Alabama,AL,Cherokee,-85.7753,34.1838,0.576103238,-6.908918078,0.422475708,9.226869455
1019,AL,Alabama,AL,Cherokee,-85.5887,34.2215,0.576103238,-6.908918078,0.422475708,9.226869455
1019,AL,Alabama,AL,Cherokee,-85.52,33.9876,0.576103238,-6.908918078,0.422475708,9.226869455
1019,AL,Alabama,AL,Cherokee,-85.5322,34.3657,0.576103238,-6.908918078,0.422475708,9.226869455
1019,AL,Alabama,AL,Cherokee,-85.6733,34.2815,0.576103238,-6.908918078,0.422475708,9.226869455
1019,AL,Alabama,AL,Cherokee,-85.6707,34.1554,0.576103238,-6.908918078,0.422475708,9.226869455
1021,AL,Alabama,AL,Chilton,-86.5455,32.7751,0.455259384,-13.92826498,0.409733446,4.804994999
1021,AL,Alabama,AL,Chilton,-86.4789,32.7107,0.455259384,-13.92826498,0.409733446,4.804994999
1021,AL,Alabama,AL,Chilton,-86.8997,32.7357,0.455259384,-13.92826498,0.409733446,4.804994999
1021,AL,Alabama,AL,Chilton,-86.7202,32.9169,0.455259384,-13.92826498,0.409733446,4.804994999
1021,AL,Alabama,AL,Chilton,-86.623,32.8417,0.455259384,-13.92826498,0.409733446,4.804994999
1021,AL,Alabama,AL,Chilton,-86.7339,32.9696,0.455259384,-13.92826498,0.409733446,4.804994999
1021,AL,Alabama,AL,Chilton,-86.785,32.7029,0.455259384,-13.92826498,0.409733446,4.804994999
1021,AL,Alabama,AL,Chilton,-86.8783,32.7867,0.455259384,-13.92826498,0.409733446,4.804994999
1021,AL,Alabama,AL,Chilton,-86.5114,32.7499,0.455259384,-13.92826498,0.409733446,4.804994999
1021,AL,Alabama,AL,Chilton,-86.6608,32.879,0.455259384,-13.92826498,0.409733446,4.804994999
