"","State","Age_group","Deaths","Population","Female","Male"
"225","Kentucky","25-34",453,5313840,8.5,NA
"226","Kentucky","25-34",936,5384673,NA,17.4
"227","Kentucky","35-44",1614,5658299,28.5,NA
"228","Kentucky","35-44",3492,5625826,NA,62.1
"229","Kentucky","45-54",4385,5857420,74.9,NA
"230","Kentucky","45-54",10222,5680372,NA,180
"231","Kentucky","55-64",8417,4876877,172.6,NA
"232","Kentucky","55-64",17630,4559064,NA,386.7
"233","Kentucky","65-74",14379,3318067,433.4,NA
"234","Kentucky","65-74",22943,2851979,NA,804.5
"235","Kentucky","75-84",27104,2085300,1299.8,NA
"236","Kentucky","75-84",27214,1420800,NA,1915.4
"237","Kentucky","85+",20243,382265,NA,5295.5
"238","Kentucky","85+",41053,890703,4609.1,NA
"239","Louisiana","25-34",568,5937120,9.6,NA
"240","Louisiana","25-34",952,5855944,NA,16.3
"241","Louisiana","35-44",1842,5870278,31.4,NA
"242","Louisiana","35-44",3578,5673680,NA,63.1
"243","Louisiana","45-54",5125,6065416,84.5,NA
"244","Louisiana","45-54",10632,5783545,NA,183.8
"245","Louisiana","55-64",9713,4941469,196.6,NA
"246","Louisiana","55-64",18847,4553721,NA,413.9
"247","Louisiana","65-74",14950,3297667,453.4,NA
"248","Louisiana","65-74",22791,2759582,NA,825.9
"249","Louisiana","75-84",27143,2080917,1304.4,NA
"250","Louisiana","75-84",27317,1404565,NA,1944.9
"251","Louisiana","85+",20588,388045,NA,5305.6
"252","Louisiana","85+",39304,855036,4596.8,NA
"253","Maine","25-34",65,1441201,4.5,NA
"254","Maine","25-34",145,1410966,NA,10.3
"255","Maine","35-44",222,1761676,12.6,NA
"256","Maine","35-44",607,1698508,NA,35.7
"257","Maine","45-54",629,1992911,31.6,NA
"258","Maine","45-54",1959,1924149,NA,101.8
"259","Maine","55-64",1484,1690860,87.8,NA
"260","Maine","55-64",3804,1619368,NA,234.9
"261","Maine","65-74",3001,1145438,262,NA
"262","Maine","65-74",5601,1033979,NA,541.7
"263","Maine","75-84",7247,758044,956,NA
"264","Maine","75-84",8246,550966,NA,1496.6
"265","Maine","85+",7893,166645,NA,4736.4
"266","Maine","85+",14611,361410,4042.8,NA
"267","Maryland","25-34",513,7446401,6.9,NA
"268","Maryland","25-34",946,7143746,NA,13.2
"269","Maryland","35-44",1559,8223895,19,NA
"270","Maryland","35-44",3164,7682864,NA,41.2
"271","Maryland","45-54",4465,8381408,53.3,NA
"272","Maryland","45-54",9847,7729088,NA,127.4
"273","Maryland","55-64",8262,6465773,127.8,NA
"274","Maryland","55-64",17108,5836051,NA,293.1
"275","Maryland","65-74",14149,4028898,351.2,NA
"276","Maryland","65-74",21702,3373457,NA,643.3
"277","Maryland","75-84",28721,2556672,1123.4,NA
"278","Maryland","75-84",29141,1745014,NA,1670
"279","Maryland","85+",26856,542031,NA,4954.7
"280","Maryland","85+",50943,1189731,4281.9,NA
"281","Massachusetts","25-34",311,8517585,3.7,NA
"282","Massachusetts","25-34",640,8328661,NA,7.7
"283","Massachusetts","35-44",938,9092443,10.3,NA
"284","Massachusetts","35-44",2584,8729456,NA,29.6
"285","Massachusetts","45-54",2636,9345447,28.2,NA
"286","Massachusetts","45-54",8159,8861385,NA,92.1
"287","Massachusetts","55-64",5866,7397231,79.3,NA
"288","Massachusetts","55-64",14599,6791923,NA,214.9
"289","Massachusetts","65-74",12288,4890356,251.3,NA
"290","Massachusetts","65-74",21356,4098048,NA,521.1
"291","Massachusetts","75-84",32621,3504955,930.7,NA
"292","Massachusetts","75-84",35223,2354990,NA,1495.7
"293","Massachusetts","85+",38093,797365,NA,4777.4
"294","Massachusetts","85+",73196,1836427,3985.8,NA
"295","Michigan","25-34",711,11765081,6,NA
"296","Michigan","25-34",1409,11806675,NA,11.9
"297","Michigan","35-44",2502,13057579,19.2,NA
"298","Michigan","35-44",5983,12874967,NA,46.5
"299","Michigan","45-54",7989,13897982,57.5,NA
"300","Michigan","45-54",19496,13524755,NA,144.2
"301","Michigan","55-64",16668,11323690,147.2,NA
"302","Michigan","55-64",35666,10704407,NA,333.2
"303","Michigan","65-74",29158,7468731,390.4,NA
"304","Michigan","65-74",45734,6494940,NA,704.1
"305","Michigan","75-84",63200,5007447,1262.1,NA
"306","Michigan","75-84",65857,3527892,NA,1866.8
"307","Michigan","85+",62944,1082885,NA,5812.6
"308","Michigan","85+",116315,2334993,4981.4,NA
"309","Minnesota","25-34",228,6562210,3.5,NA
"310","Minnesota","25-34",428,6760015,NA,6.3
"311","Minnesota","35-44",691,6887411,10,NA
"312","Minnesota","35-44",1760,7016543,NA,25.1
"313","Minnesota","45-54",1752,7118432,24.6,NA
"314","Minnesota","45-54",5800,7153761,NA,81.1
"315","Minnesota","55-64",3361,5563810,60.4,NA
"316","Minnesota","55-64",9475,5448862,NA,173.9
"317","Minnesota","65-74",6439,3560492,180.8,NA
"318","Minnesota","65-74",12997,3209984,NA,404.9
"319","Minnesota","75-84",16805,2456492,684.1,NA
"320","Minnesota","75-84",22099,1804166,NA,1224.9
"321","Minnesota","85+",25721,620339,NA,4146.3
"322","Minnesota","85+",42545,1332352,3193.2,NA
"323","Mississippi","25-34",462,3704360,12.5,NA
"324","Mississippi","25-34",741,3573798,NA,20.7
"325","Mississippi","35-44",1468,3795810,38.7,NA
"326","Mississippi","35-44",2679,3594195,NA,74.5
"327","Mississippi","45-54",3775,3851539,98,NA
"328","Mississippi","45-54",7744,3621054,NA,213.9
"329","Mississippi","55-64",7017,3194568,219.7,NA
"330","Mississippi","55-64",13663,2916695,NA,468.4
"331","Mississippi","65-74",11408,2225680,512.6,NA
"332","Mississippi","65-74",17202,1859332,NA,925.2
"333","Mississippi","75-84",19835,921214,NA,2153.1
"334","Mississippi","75-84",21098,1412122,1494.1,NA
"335","Mississippi","85+",14710,249098,NA,5905.3
"336","Mississippi","85+",32689,600654,5442.2,NA
"337","Missouri","25-34",515,7272703,7.1,NA
"338","Missouri","25-34",979,7244761,NA,13.5
"339","Missouri","35-44",1768,7571790,23.3,NA
"340","Missouri","35-44",3731,7470506,NA,49.9
"341","Missouri","45-54",5059,7952508,63.6,NA
"342","Missouri","45-54",12058,7687860,NA,156.8
"343","Missouri","55-64",9983,6640160,150.3,NA
"344","Missouri","55-64",21053,6158618,NA,341.8
"345","Missouri","65-74",17607,4595157,383.2,NA
"346","Missouri","65-74",28588,3961426,NA,721.7
"347","Missouri","75-84",37895,3074270,1232.7,NA
"348","Missouri","75-84",39939,2163529,NA,1846
"349","Missouri","85+",36270,651929,NA,5563.5
"350","Missouri","85+",70935,1462155,4851.4,NA
"351","Montana","25-34",48,1074639,4.5,NA
"352","Montana","25-34",74,1130791,NA,6.5
"353","Montana","35-44",128,1161616,11,NA
"354","Montana","35-44",395,1171731,NA,33.7
"355","Montana","45-54",463,1346891,34.4,NA
"356","Montana","45-54",1457,1338837,NA,108.8
"357","Montana","55-64",1146,1175326,97.5,NA
"358","Montana","55-64",2963,1179787,NA,251.1
"359","Montana","65-74",1997,769621,259.5,NA
"360","Montana","65-74",4124,753108,NA,547.6
"361","Montana","75-84",4403,487494,903.2,NA
"362","Montana","75-84",5709,395385,NA,1443.9
"363","Montana","85+",5652,126067,NA,4483.3
"364","Montana","85+",8584,236583,3628.3,NA
"365","Nebraska","25-34",99,2195269,4.5,NA
"366","Nebraska","25-34",193,2294019,NA,8.4
"367","Nebraska","35-44",311,2219607,14,NA
"368","Nebraska","35-44",734,2268886,NA,32.4
