State,Gender,Age_group,Deaths,Population,Crude_Rate
Indiana,Female,45-54,4785,8547976,56
Indiana,Male,45-54,12006,8397924,143
Indiana,Female,55-64,9655,6956581,138.8
Indiana,Male,55-64,21030,6571056,320
Indiana,Female,65-74,17733,4660292,380.5
Indiana,Male,65-74,27828,3987228,697.9
Indiana,Female,75-84,36529,3123475,1169.5
Indiana,Male,75-84,38514,2129814,1808.3
Indiana,Female,85+,64107,1451309,4417.2
Indiana,Male,85+,33734,638638,5282.2
Iowa,Female,25-34,143,3463502,4.1
Iowa,Male,25-34,293,3610925,8.1
Iowa,Female,35-44,550,3685998,14.9
Iowa,Male,35-44,1341,3745984,35.8
Iowa,Female,45-54,1664,3954606,42.1
Iowa,Male,45-54,4569,3974994,114.9
Iowa,Female,55-64,3512,3299651,106.4
Iowa,Male,55-64,8554,3225967,265.2
Iowa,Female,65-74,6977,2321848,300.5
Iowa,Male,65-74,12231,2046748,597.6
Iowa,Female,75-84,17084,1743426,979.9
Iowa,Male,75-84,19778,1232295,1605
Iowa,Female,85+,40759,955691,4264.9
Iowa,Male,85+,21970,423551,5187.1
Kansas,Female,25-34,153,3382527,4.5
Kansas,Male,25-34,321,3530333,9.1
Kansas,Female,35-44,556,3488401,15.9
Kansas,Male,35-44,1169,3528849,33.1
Kansas,Female,45-54,1595,3636698,43.9
Kansas,Male,45-54,4164,3608907,115.4
Kansas,Female,55-64,3150,2933087,107.4
Kansas,Male,55-64,7366,2829583,260.3
Kansas,Female,65-74,5870,1970776,297.9
Kansas,Male,65-74,10131,1732291,584.8
Kansas,Female,75-84,14063,1418327,991.5
Kansas,Male,75-84,15653,1016304,1540.2
Kansas,Female,85+,30735,751412,4090.3
Kansas,Male,85+,17099,349045,4898.8
Kentucky,Female,25-34,453,5313840,8.5
Kentucky,Male,25-34,936,5384673,17.4
Kentucky,Female,35-44,1614,5658299,28.5
Kentucky,Male,35-44,3492,5625826,62.1
Kentucky,Female,45-54,4385,5857420,74.9
Kentucky,Male,45-54,10222,5680372,180
Kentucky,Female,55-64,8417,4876877,172.6
Kentucky,Male,55-64,17630,4559064,386.7
Kentucky,Female,65-74,14379,3318067,433.4
Kentucky,Male,65-74,22943,2851979,804.5
Kentucky,Female,75-84,27104,2085300,1299.8
Kentucky,Male,75-84,27214,1420800,1915.4
Kentucky,Female,85+,41053,890703,4609.1
Kentucky,Male,85+,20243,382265,5295.5
Louisiana,Female,25-34,568,5937120,9.6
Louisiana,Male,25-34,952,5855944,16.3
Louisiana,Female,35-44,1842,5870278,31.4
Louisiana,Male,35-44,3578,5673680,63.1
Louisiana,Female,45-54,5125,6065416,84.5
Louisiana,Male,45-54,10632,5783545,183.8
Louisiana,Female,55-64,9713,4941469,196.6
Louisiana,Male,55-64,18847,4553721,413.9
Louisiana,Female,65-74,14950,3297667,453.4
Louisiana,Male,65-74,22791,2759582,825.9
Louisiana,Female,75-84,27143,2080917,1304.4
Louisiana,Male,75-84,27317,1404565,1944.9
Louisiana,Female,85+,39304,855036,4596.8
Louisiana,Male,85+,20588,388045,5305.6
Maine,Female,25-34,65,1441201,4.5
Maine,Male,25-34,145,1410966,10.3
Maine,Female,35-44,222,1761676,12.6
Maine,Male,35-44,607,1698508,35.7
Maine,Female,45-54,629,1992911,31.6
Maine,Male,45-54,1959,1924149,101.8
Maine,Female,55-64,1484,1690860,87.8
Maine,Male,55-64,3804,1619368,234.9
Maine,Female,65-74,3001,1145438,262
Maine,Male,65-74,5601,1033979,541.7
Maine,Female,75-84,7247,758044,956
Maine,Male,75-84,8246,550966,1496.6
Maine,Female,85+,14611,361410,4042.8
Maine,Male,85+,7893,166645,4736.4
Maryland,Female,25-34,513,7446401,6.9
Maryland,Male,25-34,946,7143746,13.2
Maryland,Female,35-44,1559,8223895,19
Maryland,Male,35-44,3164,7682864,41.2
Maryland,Female,45-54,4465,8381408,53.3
Maryland,Male,45-54,9847,7729088,127.4
Maryland,Female,55-64,8262,6465773,127.8
Maryland,Male,55-64,17108,5836051,293.1
Maryland,Female,65-74,14149,4028898,351.2
Maryland,Male,65-74,21702,3373457,643.3
Maryland,Female,75-84,28721,2556672,1123.4
Maryland,Male,75-84,29141,1745014,1670
Maryland,Female,85+,50943,1189731,4281.9
Maryland,Male,85+,26856,542031,4954.7
Massachusetts,Female,25-34,311,8517585,3.7
Massachusetts,Male,25-34,640,8328661,7.7
Massachusetts,Female,35-44,938,9092443,10.3
Massachusetts,Male,35-44,2584,8729456,29.6
Massachusetts,Female,45-54,2636,9345447,28.2
Massachusetts,Male,45-54,8159,8861385,92.1
Massachusetts,Female,55-64,5866,7397231,79.3
Massachusetts,Male,55-64,14599,6791923,214.9
Massachusetts,Female,65-74,12288,4890356,251.3
Massachusetts,Male,65-74,21356,4098048,521.1
Massachusetts,Female,75-84,32621,3504955,930.7
Massachusetts,Male,75-84,35223,2354990,1495.7
Massachusetts,Female,85+,73196,1836427,3985.8
Massachusetts,Male,85+,38093,797365,4777.4
Michigan,Female,25-34,711,11765081,6
Michigan,Male,25-34,1409,11806675,11.9
Michigan,Female,35-44,2502,13057579,19.2
Michigan,Male,35-44,5983,12874967,46.5
Michigan,Female,45-54,7989,13897982,57.5
Michigan,Male,45-54,19496,13524755,144.2
Michigan,Female,55-64,16668,11323690,147.2
Michigan,Male,55-64,35666,10704407,333.2
Michigan,Female,65-74,29158,7468731,390.4
Michigan,Male,65-74,45734,6494940,704.1
Michigan,Female,75-84,63200,5007447,1262.1
Michigan,Male,75-84,65857,3527892,1866.8
Michigan,Female,85+,116315,2334993,4981.4
Michigan,Male,85+,62944,1082885,5812.6
Minnesota,Female,25-34,228,6562210,3.5
Minnesota,Male,25-34,428,6760015,6.3
Minnesota,Female,35-44,691,6887411,10
Minnesota,Male,35-44,1760,7016543,25.1
Minnesota,Female,45-54,1752,7118432,24.6
Minnesota,Male,45-54,5800,7153761,81.1
Minnesota,Female,55-64,3361,5563810,60.4
Minnesota,Male,55-64,9475,5448862,173.9
Minnesota,Female,65-74,6439,3560492,180.8
Minnesota,Male,65-74,12997,3209984,404.9
Minnesota,Female,75-84,16805,2456492,684.1
Minnesota,Male,75-84,22099,1804166,1224.9
Minnesota,Female,85+,42545,1332352,3193.2
Minnesota,Male,85+,25721,620339,4146.3
Mississippi,Female,25-34,462,3704360,12.5
Mississippi,Male,25-34,741,3573798,20.7
Mississippi,Female,35-44,1468,3795810,38.7
Mississippi,Male,35-44,2679,3594195,74.5
Mississippi,Female,45-54,3775,3851539,98
