"","County","FIPS","State","FFRPTH14","PCH_FFRPTH_09_14","FSRPTH14","PCH_FSRPTH_09_14","long","lat","group","order","State_name"
"5036","Amelia",51007,"VA",0.311162972,-34.68689226,0.311162972,-34.68689226,-77.7331771850586,37.2021484375,2794,81359,"Virginia"
"5071","Amherst",51009,"VA",0.499360195,-4.6897633,0.468150183,-15.61072792,-78.8905563354492,37.523006439209,2795,81390,"Virginia"
"5131","Amite",28005,"MS",0.237548499,4.291709557,0.158365666,NA,-91.0716400146484,31.3350601196289,1370,41960,"Mississippi"
"5150","Anchorage",2020,"AK",0.677718348,-5.814501805,0.767416365,6.138479619,NA,NA,NA,NA,NA
"5151","Anderson",47001,"TN",0.847367864,5.96476362,0.476644423,-8.299723791,-95.7527084350586,31.5355987548828,2492,74520,"Texas"
"5319","Anderson",48001,"TX",0.416471446,28.03209022,0.451177399,31.76635952,-95.7527084350586,31.5355987548828,2492,74520,"Texas"
"5487","Anderson",21005,"KY",0.868055556,42.41452992,0.365497076,11.36173768,-95.7527084350586,31.5355987548828,2492,74520,"Texas"
"5655","Anderson",45007,"SC",0.783154401,-1.95117146,0.757222136,13.91552105,-95.7527084350586,31.5355987548828,2492,74520,"Texas"
"5823","Anderson",20003,"KS",0.507421033,37.02059284,1.014842065,-31.48970358,-95.7527084350586,31.5355987548828,2492,74520,"Texas"
"5991","Andrew",29003,"MO",0.23016284,-43.98494077,0.28770355,22.53294206,-94.9792098999023,39.9294281005859,1451,43846,"Missouri"
"6008","Andrews",48003,"TX",0.57218058,-7.173237207,0.57218058,-16.45591349,-103.07511138916,32.5096244812012,2493,74566,"Texas"
"6015","Androscoggin",23001,"ME",0.707371556,25.04241788,0.716679077,-11.17298294,-70.4623489379883,44.0146179199219,1144,35577,"Maine"
"6048","Angelina",48005,"TX",0.729344729,1.201286646,0.535612536,24.53570494,-94.4864654541016,31.4267349243164,2494,74588,"Texas"
"6071","Anne Arundel",24003,"MD",0.810521787,-3.893597622,0.690907338,12.8330099,NA,NA,NA,NA,NA
"6072","Anoka",27003,"MN",0.587953104,-0.097978614,0.427070414,3.512761697,-93.5181732177734,45.4298248291016,1282,40082,"Minnesota"
"6086","Anson",37007,"NC",0.543372793,21.88304548,0.426935766,-4.234749984,-79.8989639282227,34.8472938537598,1860,55030,"North carolina"
"6129","Antelope",31003,"NE",0.625195374,40.43972075,1.094091904,22.88475565,-97.8382720947266,42.0665626525879,1623,49156,"Nebraska"
"6137","Antrim",26009,"MI",0.55873125,66.19461039,1.031503847,-15.35977402,-85.2561187744141,44.8683242797852,1202,38608,"Michigan"
"6165","Apache",4001,"AZ",0.222754358,5.448942845,0.250598652,-6.344688921,-109.847465515137,34.3144416809082,68,3192,"Arizona"
"6213","Appanoose",19007,"IA",0.631861622,1.856093516,0.710844325,-16.66319622,-92.6300888061523,40.6055183410645,758,25350,"Iowa"
"6219","Appling",13001,"GA",0.701186624,-9.126213592,0.485436893,-37.08737864,-82.276741027832,31.569974899292,358,14766,"Georgia"
"6274","Appomattox",51011,"VA",0.458145167,69.65115518,0.458145167,-3.056482754,-78.9593124389648,37.3052825927734,2796,81439,"Virginia"
"6309","Aransas",48007,"TX",0.680762454,32.13031929,1.281435207,-0.513641946,-96.9616470336914,28.1952533721924,2495,74608,"Texas"
"6337","Arapahoe",8005,"CO",0.738501117,-3.728002823,0.753044903,7.909801703,-105.011703491211,39.6601371765137,217,10032,"Colorado"
"6349","Archer",48009,"TX",0.453977982,36.54144441,0.226988991,2.406083305,-98.4226913452148,33.455005645752,2496,74623,"Texas"
"6355","Archuleta",8007,"CO",0.571708592,-36.75343768,2.0418164,12.94028986,-106.512855529785,37.0531806945801,218,10056,"Colorado"
"6371","Arenac",26011,"MI",0.911873901,34.65061611,0.716472351,-10.47953545,-84.1560363769531,43.997428894043,1203,38636,"Michigan"
"6391","Arkansas",5001,"AR",0.591588685,-37.11412284,0.645369474,2.904162633,-91.146125793457,34.1139068603516,82,4022,"Arkansas"
"6485","Arlington",51013,"VA",1.044476175,-5.089901907,1.075325683,2.300831153,-77.1086654663086,38.8350791931152,2797,81468,"Virginia"
"6494","Armstrong",48011,"TX",1.023017903,-2.250639386,0,0,-79.6010284423828,41.0295066833496,2215,64829,"Pennsylvania"
"6547","Armstrong",42005,"PA",0.398318212,-8.227483957,0.516338423,-6.080758435,-79.6010284423828,41.0295066833496,2215,64829,"Pennsylvania"
"6600","Aroostook",23003,"ME",0.719973505,33.3944757,0.849568736,0.636291339,-67.792366027832,45.8538131713867,1145,35644,"Maine"
"6664","Arthur",31005,"NE",0,0,2.207505519,-2.428256071,-101.980758666992,41.3904724121094,1624,49167,"Nebraska"
"6670","Ascension",22005,"LA",0.692136137,10.29294215,0.367430295,-15.99265437,-90.9971542358398,30.0630950927734,1081,32246,"Louisiana"
"6709","Ashe",37009,"NC",0.663570007,12.57465163,0.811030008,0.066357001,-81.3542709350586,36.5260581970215,1861,55062,"North carolina"
"6743","Ashland",55003,"WI",0.745202757,9.260273354,1.304104825,-22.10147178,-82.4371643066406,41.0065879821777,2014,60006,"Ohio"
