,FIPS,State,State_name,County,long,lat,FFRPTH14,PCH_FFRPTH_09_14,FSRPTH14,PCH_FSRPTH_09_14
95,1015,AL,Alabama,Calhoun,-85.856,33.6149,0.888574485,10.70983344,0.66427413,17.35146089
96,1015,AL,Alabama,Calhoun,-85.8792,33.7675,0.888574485,10.70983344,0.66427413,17.35146089
97,1015,AL,Alabama,Calhoun,-85.7544,33.8084,0.888574485,10.70983344,0.66427413,17.35146089
98,1015,AL,Alabama,Calhoun,-85.7514,33.6265,0.888574485,10.70983344,0.66427413,17.35146089
99,1017,AL,Alabama,Chambers,-85.2449,33.0863,0.763000352,19.25001868,0.469538678,-15.02832677
100,1017,AL,Alabama,Chambers,-85.2082,32.8572,0.763000352,19.25001868,0.469538678,-15.02832677
101,1017,AL,Alabama,Chambers,-85.1771,32.8088,0.763000352,19.25001868,0.469538678,-15.02832677
102,1017,AL,Alabama,Chambers,-85.3058,32.7876,0.763000352,19.25001868,0.469538678,-15.02832677
103,1017,AL,Alabama,Chambers,-85.3308,33.0548,0.763000352,19.25001868,0.469538678,-15.02832677
104,1017,AL,Alabama,Chambers,-85.2394,32.843,0.763000352,19.25001868,0.469538678,-15.02832677
105,1017,AL,Alabama,Chambers,-85.4007,32.8997,0.763000352,19.25001868,0.469538678,-15.02832677
106,1017,AL,Alabama,Chambers,-85.4721,33.009,0.763000352,19.25001868,0.469538678,-15.02832677
107,1017,AL,Alabama,Chambers,-85.5253,33.0926,0.763000352,19.25001868,0.469538678,-15.02832677
108,1017,AL,Alabama,Chambers,-85.2912,32.9861,0.763000352,19.25001868,0.469538678,-15.02832677
109,1017,AL,Alabama,Chambers,-85.5761,32.7333,0.763000352,19.25001868,0.469538678,-15.02832677
110,1017,AL,Alabama,Chambers,-85.3516,33.0173,0.763000352,19.25001868,0.469538678,-15.02832677
111,1019,AL,Alabama,Cherokee,-85.7715,34.2302,0.576103238,-6.908918078,0.422475708,9.226869455
112,1019,AL,Alabama,Cherokee,-85.61,34.3634,0.576103238,-6.908918078,0.422475708,9.226869455
113,1019,AL,Alabama,Cherokee,-85.4619,34.0862,0.576103238,-6.908918078,0.422475708,9.226869455
114,1019,AL,Alabama,Cherokee,-85.5585,34.2681,0.576103238,-6.908918078,0.422475708,9.226869455
115,1019,AL,Alabama,Cherokee,-85.5558,33.973,0.576103238,-6.908918078,0.422475708,9.226869455
116,1019,AL,Alabama,Cherokee,-85.7753,34.1838,0.576103238,-6.908918078,0.422475708,9.226869455
117,1019,AL,Alabama,Cherokee,-85.5887,34.2215,0.576103238,-6.908918078,0.422475708,9.226869455
118,1019,AL,Alabama,Cherokee,-85.52,33.9876,0.576103238,-6.908918078,0.422475708,9.226869455
119,1019,AL,Alabama,Cherokee,-85.5322,34.3657,0.576103238,-6.908918078,0.422475708,9.226869455
120,1019,AL,Alabama,Cherokee,-85.6733,34.2815,0.576103238,-6.908918078,0.422475708,9.226869455
121,1019,AL,Alabama,Cherokee,-85.6707,34.1554,0.576103238,-6.908918078,0.422475708,9.226869455
122,1021,AL,Alabama,Chilton,-86.5455,32.7751,0.455259384,-13.92826498,0.409733446,4.804994999
123,1021,AL,Alabama,Chilton,-86.4789,32.7107,0.455259384,-13.92826498,0.409733446,4.804994999
124,1021,AL,Alabama,Chilton,-86.8997,32.7357,0.455259384,-13.92826498,0.409733446,4.804994999
125,1021,AL,Alabama,Chilton,-86.7202,32.9169,0.455259384,-13.92826498,0.409733446,4.804994999
126,1021,AL,Alabama,Chilton,-86.623,32.8417,0.455259384,-13.92826498,0.409733446,4.804994999
127,1021,AL,Alabama,Chilton,-86.7339,32.9696,0.455259384,-13.92826498,0.409733446,4.804994999
128,1021,AL,Alabama,Chilton,-86.785,32.7029,0.455259384,-13.92826498,0.409733446,4.804994999
129,1021,AL,Alabama,Chilton,-86.8783,32.7867,0.455259384,-13.92826498,0.409733446,4.804994999
130,1021,AL,Alabama,Chilton,-86.5114,32.7499,0.455259384,-13.92826498,0.409733446,4.804994999
131,1021,AL,Alabama,Chilton,-86.6608,32.879,0.455259384,-13.92826498,0.409733446,4.804994999
132,1023,AL,Alabama,Choctaw,-88.3002,32.1792,0.45034902,57.35194776,0.37529085,-25.07050107
133,1023,AL,Alabama,Choctaw,-88.3284,32.0288,0.45034902,57.35194776,0.37529085,-25.07050107
134,1023,AL,Alabama,Choctaw,-88.3258,31.7678,0.45034902,57.35194776,0.37529085,-25.07050107
